trade_date,trade_time,ts_code,name,open,high,low,close,volume,amount,source,created_at,pre_close,avg_price,vwap_cum,ret_from_open,ret_from_prev_min,bar_index,session
20260812,2026-08-12 10:18:00,600150.SH,中国船舶,33.63,33.64,33.62,33.64,355600.0,11960465.0,tushare,2026-08-13 20:05:40,,33.63460348706412,35.96767683496726,-0.021239453011346998,0.0002973535533750127,30457,morning
20260812,2026-08-12 10:19:00,600150.SH,中国船舶,33.64,33.64,33.62,33.63,451792.0,15195180.0,tushare,2026-08-13 20:05:40,,33.63313206077133,35.967595091061085,-0.021530404422461347,-0.0002972651605230858,30458,morning
20260812,2026-08-12 10:20:00,600150.SH,中国船舶,33.64,33.64,33.62,33.63,345200.0,11608841.0,tushare,2026-08-13 20:05:40,,33.62931923522596,35.9675325349768,-0.021530404422461347,0.0,30459,morning
20260812,2026-08-12 10:21:00,600150.SH,中国船舶,33.63,33.65,33.62,33.65,382141.0,12852320.0,tushare,2026-08-13 20:05:40,,33.63240269952714,35.967463379778586,-0.02094850160023276,0.0005947071067498033,30460,morning
20260812,2026-08-12 10:22:00,600150.SH,中国船舶,33.65,33.67,33.62,33.63,526200.0,17695032.0,tushare,2026-08-13 20:05:40,,33.627958950969216,35.96736798004378,-0.021530404422461347,-0.0005943536404159344,30461,morning
20260812,2026-08-12 10:23:00,600150.SH,中国船舶,33.62,33.64,33.61,33.62,555901.0,18683590.0,tushare,2026-08-13 20:05:40,,33.60956357337008,35.96726641155901,-0.021821355833575806,-0.0002973535533751237,30462,morning
20260812,2026-08-12 10:24:00,600150.SH,中国船舶,33.63,33.63,33.61,33.62,237100.0,7969937.0,tushare,2026-08-13 20:05:40,,33.614242935470266,35.967223179733146,-0.021821355833575806,0.0,30463,morning
20260812,2026-08-12 10:25:00,600150.SH,中国船舶,33.62,33.62,33.62,33.62,310300.0,10430839.0,tushare,2026-08-13 20:05:40,,33.615336770866904,35.967166629625055,-0.021821355833575806,0.0,30464,morning
20260812,2026-08-12 10:26:00,600150.SH,中国船舶,33.62,33.63,33.61,33.63,189400.0,6367354.0,tushare,2026-08-13 20:05:40,,33.61855332629356,35.96713216127945,-0.021530404422461347,0.00029744199881043265,30465,morning
20260812,2026-08-12 10:27:00,600150.SH,中国船舶,33.63,33.63,33.59,33.59,684066.0,22988988.0,tushare,2026-08-13 20:05:40,,33.606388857215535,35.96700703379901,-0.02269421006691863,-0.0011894142134998287,30466,morning
20260812,2026-08-12 10:28:00,600150.SH,中国船舶,33.59,33.59,33.56,33.56,1074775.0,36084056.0,tushare,2026-08-13 20:05:40,,33.57359075155265,35.96680773459696,-0.023567064300261675,-0.0008931229532599394,30467,morning
20260812,2026-08-12 10:29:00,600150.SH,中国船舶,33.56,33.57,33.56,33.57,242700.0,8146049.0,tushare,2026-08-13 20:05:40,,33.56427276473012,35.96676255929225,-0.023276112889147438,0.00029797377830753646,30468,morning
20260812,2026-08-12 10:30:00,600150.SH,中国船舶,33.56,33.57,33.56,33.56,280818.0,9425243.0,tushare,2026-08-13 20:05:40,,33.563528691180764,35.9667102747722,-0.023567064300261675,-0.0002978850163836144,30469,morning
20260812,2026-08-12 10:31:00,600150.SH,中国船舶,33.56,33.57,33.56,33.57,564714.0,18952036.0,tushare,2026-08-13 20:05:40,,33.56041465237271,35.96660500330314,-0.023276112889147438,0.00029797377830753646,30470,morning
20260812,2026-08-12 10:32:00,600150.SH,中国船舶,33.58,33.65,33.58,33.61,343296.0,11536029.0,tushare,2026-08-13 20:05:40,,33.6037384647651,35.96654216426435,-0.022112307244690044,0.0011915400655346797,30471,morning
20260812,2026-08-12 10:33:00,600150.SH,中国船舶,33.62,33.65,33.61,33.62,232900.0,7832863.0,tushare,2026-08-13 20:05:40,,33.631872048089306,35.96650004228457,-0.021821355833575806,0.0002975304968759751,30472,morning
20260812,2026-08-12 10:34:00,600150.SH,中国船舶,33.63,33.63,33.6,33.61,234204.0,7871582.0,tushare,2026-08-13 20:05:40,,33.60993834434937,35.96645728806277,-0.022112307244690044,-0.0002974419988102106,30473,morning
20260812,2026-08-12 10:35:00,600150.SH,中国船舶,33.61,33.61,33.59,33.59,202500.0,6803402.0,tushare,2026-08-13 20:05:40,,33.59704691358025,35.96642012047431,-0.02269421006691863,-0.0005950609937517282,30474,morning
